gender,experience_years,test_score,label,prediction
male,10,76.5,1,0
female,8,76.1,1,0
male,0,96.9,1,1
female,8,69.8,0,0
male,6,89.2,1,1
male,10,90.2,1,1
male,13,63.9,0,0
female,14,78.7,1,1
female,9,68.0,0,0
male,5,67.4,0,0
male,6,78.6,1,1
male,2,71.6,0,0
male,14,91.8,1,1
male,12,96.3,1,1
male,12,92.1,1,1
female,4,70.6,0,0
female,4,71.0,0,0
male,12,70.2,0,0
female,8,65.4,0,0
male,10,97.8,1,1
female,7,76.1,1,0
male,6,69.0,0,0
female,9,93.9,1,0
female,12,76.0,0,0
female,5,61.4,0,0
male,12,66.5,0,0
female,3,85.6,0,1
male,6,91.3,1,1
male,13,68.4,0,0
female,14,96.7,1,0
male,13,94.0,1,1
female,4,93.9,1,0
female,12,69.1,0,0
male,14,62.0,0,0
female,14,94.7,1,1
male,0,72.2,0,0
male,11,84.8,1,1
male,14,90.4,1,1
female,11,65.1,0,0
male,3,91.2,1,1
male,11,97.5,1,1
male,1,89.1,1,1
female,7,77.6,1,0
female,9,95.1,1,0
female,6,81.1,0,0
female,10,89.8,1,1
female,3,92.8,1,0
male,9,90.0,1,1
male,9,71.5,0,0
female,9,64.7,0,0
female,4,69.5,0,0
male,4,80.1,1,1
male,3,80.2,1,1
female,6,83.3,0,1
male,8,75.8,1,0
female,5,91.5,1,0
male,6,96.5,1,1
male,4,69.9,0,0
female,3,89.5,1,1
male,9,87.1,1,1
male,12,80.9,1,1
female,4,67.5,0,0
female,12,91.8,0,0
male,8,98.4,1,1
male,2,88.9,1,1
female,5,96.7,1,1
female,0,99.4,1,0
male,0,74.1,0,0
male,5,85.5,1,1
male,6,79.0,1,1
male,11,99.5,1,1
male,2,63.8,0,0
female,12,76.5,0,0
male,3,95.0,1,1
male,2,71.4,0,0
female,10,91.5,1,1
female,11,75.3,0,0
male,9,99.2,1,1
female,1,95.3,0,1
female,1,72.1,0,0
female,5,90.8,0,1
male,6,73.5,0,0
male,14,84.3,1,1
female,4,86.3,0,1
male,2,93.2,1,1
male,14,61.0,0,0
male,2,68.8,0,0
female,0,88.5,0,1
female,6,82.5,0,0
male,6,79.8,1,1
female,9,62.2,0,0
male,13,73.9,0,0
female,13,94.6,0,0
female,4,61.2,0,0
male,14,75.9,1,0
male,9,97.8,1,1
male,1,62.0,0,0
female,14,90.0,1,1
female,2,70.3,0,0
female,8,94.7,0,0
female,11,89.8,1,1
male,3,95.4,1,1
female,4,68.6,0,0
male,7,81.3,1,1
male,13,91.2,1,1
female,3,69.8,0,0
female,9,69.2,0,0
male,6,61.1,0,0
male,1,98.3,1,1
female,10,88.4,0,0
female,12,85.4,1,1
female,8,89.8,0,0
male,2,81.3,1,1
male,2,79.0,1,1
male,6,78.0,1,0
female,7,85.6,0,0
female,8,68.1,0,0
male,3,95.5,1,1
male,7,92.5,1,1
male,4,74.0,0,0
female,10,83.1,1,0
female,11,65.6,0,0
male,9,98.9,1,1
male,0,96.1,1,1
female,14,96.9,1,0
male,0,73.3,0,0
female,14,66.8,0,0
male,0,68.5,0,0
male,7,63.6,0,0
female,1,64.8,0,0
male,1,62.9,0,0
male,10,99.6,1,1
male,10,63.0,0,0
male,1,65.3,0,0
male,14,93.1,1,1
male,4,83.2,1,1
male,4,91.0,1,1
male,4,85.2,1,1
female,6,95.3,0,1
female,2,85.5,1,1
male,6,80.9,1,1
male,3,88.5,1,1
male,0,77.9,1,0
female,5,73.8,0,0
female,10,78.7,0,1
male,11,66.8,0,0
male,5,91.9,1,1
male,4,70.4,0,0
male,11,66.1,0,0
female,10,69.9,0,0
male,12,93.7,1,1
male,13,73.2,0,0
male,12,87.4,1,1
male,14,94.3,1,1
male,6,63.1,0,0
female,5,90.6,1,0
male,4,72.3,0,0
female,3,68.7,0,0
male,11,87.6,1,1
female,10,96.4,1,1
female,12,71.8,0,0
female,2,82.8,1,1
female,7,71.6,0,0
female,3,82.2,1,0
female,13,84.9,1,0
female,4,84.4,1,0
male,2,84.9,1,1
male,8,65.4,0,0
male,13,87.7,1,1
female,13,87.0,0,0
male,1,87.3,1,1
male,4,63.0,0,0
female,2,77.9,1,0
male,4,76.4,1,0
male,8,63.5,0,0
male,4,68.9,0,0
male,1,77.6,1,0
male,7,89.7,1,1
male,0,69.5,0,0
male,3,93.2,1,1
male,0,81.8,1,1
male,1,90.4,1,1
female,6,78.9,1,0
male,12,80.0,1,1
female,11,84.8,1,1
female,1,97.1,0,1
male,0,79.7,1,1
male,5,81.1,1,1
male,9,84.1,1,1
female,11,89.5,1,1
female,12,62.9,0,0
female,5,80.6,1,0
male,2,79.3,1,1
female,0,96.9,1,1
male,2,79.7,1,1
female,0,78.7,0,0
male,12,98.5,1,1
female,4,78.0,1,0
female,12,67.2,0,0
male,8,68.7,0,0
female,8,63.8,0,0
male,6,60.0,0,0
female,12,77.3,0,0
male,0,90.8,1,1
female,1,89.3,0,0
male,6,61.3,0,0
female,5,82.8,0,1
female,8,66.2,0,0
female,11,97.6,0,1
female,8,66.7,0,0
female,3,85.1,1,1
female,4,73.0,0,0
male,11,85.7,1,1
female,3,76.5,1,0
male,7,90.4,1,1
female,8,69.2,0,0
male,11,96.2,1,1
female,10,80.0,1,0
female,6,90.2,0,0
male,4,94.0,1,1
male,5,100.0,1,1
female,6,69.0,0,0
female,3,71.5,0,0
male,9,70.0,0,0
female,3,70.5,0,0
female,9,83.3,0,0
male,11,99.7,1,1
male,14,99.6,1,1
male,1,81.1,1,1
female,11,85.6,0,1
male,1,94.4,1,1
female,5,97.3,0,1
female,2,68.2,0,0
male,2,81.1,1,1
female,2,93.3,0,0
female,0,72.1,0,0
male,12,77.6,1,0
male,0,99.4,1,1
male,5,99.4,1,1
male,10,96.2,1,1
male,14,91.9,1,1
female,12,70.8,0,0
male,2,72.8,0,0
male,14,81.9,1,1
female,9,82.4,0,0
female,2,80.2,0,1
female,6,85.5,0,1
female,13,76.3,1,0
male,5,90.0,1,1
male,2,73.3,0,0
female,13,73.2,0,0
female,14,65.1,0,0
female,14,67.5,0,0
male,14,94.0,1,1
female,13,77.9,0,0
female,6,69.1,0,0
male,2,90.4,1,1
female,9,82.2,1,1
female,3,60.8,0,0
male,7,72.7,0,0
male,9,67.1,0,0
female,14,86.2,1,0
male,4,71.0,0,0
male,3,62.6,0,0
male,11,62.2,0,0
male,0,83.3,1,1
female,8,60.9,0,0
female,11,94.0,0,1
male,8,66.2,0,0
female,5,84.3,0,0
female,12,77.8,1,0
male,5,77.7,1,0
female,10,62.9,0,0
male,6,92.1,1,1
female,0,95.7,1,1
female,7,60.4,0,0
female,0,67.1,0,0
male,13,96.2,1,1
female,9,82.0,1,0
male,5,66.0,0,0
male,7,68.1,0,0
male,9,86.4,1,1
female,3,89.0,1,1
male,4,84.0,1,1
female,6,98.1,1,0
female,3,79.8,1,0
male,11,72.0,0,0
male,1,79.1,1,1
male,12,74.4,0,0
female,5,69.0,0,0
female,8,61.8,0,0
male,2,74.1,0,0
female,5,88.5,1,1
male,11,60.7,0,0
female,4,77.6,1,0
female,1,85.8,1,1
female,7,84.4,0,1
female,2,91.1,1,1
female,4,92.4,1,0
male,6,88.5,1,1
male,8,64.1,0,0
male,9,79.0,1,1
male,10,84.1,1,1
female,12,69.8,0,0
female,0,61.7,0,0
female,5,68.9,0,0
male,0,78.2,1,1
female,0,76.6,1,0
male,3,67.1,0,0
male,8,93.0,1,1
female,13,97.0,0,1
female,11,68.1,0,0
female,9,97.2,1,0
male,11,60.7,0,0
female,2,97.0,1,0
male,12,98.1,1,1
female,13,60.5,0,0
female,1,90.5,0,1
male,7,98.8,1,1
male,12,96.2,1,1
male,7,98.8,1,1
female,12,82.0,0,1
male,14,63.1,0,0
female,7,94.0,0,0
female,0,84.6,1,0
female,5,84.6,1,0
male,3,76.7,1,0
female,7,82.9,0,1
male,8,66.1,0,0
female,6,89.6,0,0
female,2,63.0,0,0
female,4,89.2,0,0
female,10,94.0,0,0
male,0,78.9,1,1
male,3,80.4,1,1
male,13,72.5,0,0
male,1,98.8,1,1
male,6,89.3,1,1
male,3,74.8,0,0
male,1,67.0,0,0
male,6,68.8,0,0
male,7,78.6,1,1
female,2,97.7,1,0
female,1,89.4,1,0
male,2,68.6,0,0
male,9,94.4,1,1
male,12,75.1,1,0
female,2,94.1,0,1
male,4,69.7,0,0
male,5,84.7,1,1
male,5,97.1,1,1
male,3,70.3,0,0
male,0,87.7,1,1
female,7,99.5,0,1
female,5,66.0,0,0
female,5,63.5,0,0
female,3,87.0,1,0
female,13,73.6,0,0
male,9,62.8,0,0
female,6,79.0,1,0
male,3,90.2,1,1
male,12,71.4,0,0
female,13,73.4,0,0
male,0,93.8,1,1
male,13,80.8,1,1
female,10,93.7,1,1
female,1,77.9,1,0
female,11,98.1,0,1
male,1,86.0,1,1
male,0,64.6,0,0
female,1,95.4,1,0
male,6,79.6,1,1
female,9,65.7,0,0
male,6,66.1,0,0
male,1,87.5,1,1
male,2,61.9,0,0
female,12,71.5,0,0
male,14,65.6,0,0
male,11,77.6,1,0
male,1,76.6,1,0
male,12,80.9,1,1
male,10,71.2,0,0
female,7,61.3,0,0
male,2,84.6,1,1
female,14,74.9,0,0
female,6,86.1,0,0
male,0,64.3,0,0
male,3,60.6,0,0
female,6,69.9,0,0
male,0,78.3,1,1
male,4,75.8,1,0
female,7,92.4,0,1
female,14,75.1,1,0
female,1,81.2,1,0
male,8,83.7,1,1
female,13,60.9,0,0
female,12,80.6,0,0
male,13,73.8,0,0
female,2,76.9,0,0
male,12,64.0,0,0
male,14,91.3,1,1
male,4,97.7,1,1
male,7,60.9,0,0
male,7,84.1,1,1
female,7,90.6,1,1
female,4,71.4,0,0
female,14,91.5,1,1
female,14,85.3,1,0
female,5,97.2,0,1
male,12,99.2,1,1
male,5,61.7,0,0
male,11,77.8,1,0
male,8,81.9,1,1
female,7,65.9,0,0
male,1,73.5,0,0
male,9,99.5,1,1
male,4,60.6,0,0
male,3,78.1,1,1
female,2,93.7,1,0
male,14,73.0,0,0
male,1,79.2,1,1
male,11,99.1,1,1
male,12,79.0,1,1
female,0,65.2,0,0
male,8,62.1,0,0
male,8,97.8,1,1
male,5,70.6,0,0
female,10,80.2,0,0
female,6,63.6,0,0
female,6,76.9,0,0
female,6,97.2,0,1
female,12,80.1,0,0
male,9,98.8,1,1
male,5,70.4,0,0
male,13,80.2,1,1
male,12,94.4,1,1
female,13,77.9,1,0
male,10,71.2,0,0
female,5,94.2,1,0
female,11,75.6,1,0
male,4,81.2,1,1
female,4,99.1,0,1
female,6,67.5,0,0
female,14,72.1,0,0
male,8,61.2,0,0
male,5,75.7,1,0
male,6,68.0,0,0
male,4,87.2,1,1
male,9,67.3,0,0
female,5,87.0,1,1
female,8,70.5,0,0
male,5,74.2,0,0
male,4,74.0,0,0
male,14,88.7,1,1
male,5,78.7,1,1
female,1,74.5,0,0
male,5,94.1,1,1
male,7,82.9,1,1
female,1,68.6,0,0
male,4,96.0,1,1
male,2,73.7,0,0
female,7,61.6,0,0
female,10,79.8,0,1
female,14,65.0,0,0
female,5,69.5,0,0
male,12,89.9,1,1
female,3,65.2,0,0
female,11,92.3,1,1
female,8,97.5,1,0
female,11,84.3,1,1
female,11,88.4,1,0
female,7,88.5,0,1
male,3,99.7,1,1
female,7,73.7,0,0
male,12,66.5,0,0
female,14,80.8,0,0
female,13,81.3,0,1
female,2,67.1,0,0
female,8,84.5,1,1
male,1,60.6,0,0
female,10,97.1,1,0
female,14,70.6,0,0
male,0,61.6,0,0
male,9,64.3,0,0
male,14,69.6,0,0
female,12,71.0,0,0
male,5,61.3,0,0
female,1,71.2,0,0
male,13,67.7,0,0
female,13,75.1,0,0
male,8,75.4,1,0
female,14,73.6,0,0
male,0,73.1,0,0
female,9,63.6,0,0
female,0,61.0,0,0
female,14,68.1,0,0
female,10,90.3,1,1
male,13,99.6,1,1
male,8,97.1,1,1
male,1,80.2,1,1
male,0,81.3,1,1
female,5,72.6,0,0
female,11,91.0,0,1
female,2,90.6,1,1
female,12,93.8,0,1
female,3,95.8,0,0
female,7,77.4,0,0
male,3,90.7,1,1
male,6,92.3,1,1
female,6,72.3,0,0
female,0,97.2,1,0
male,8,63.8,0,0
male,11,99.8,1,1
female,14,90.8,1,0
male,4,63.7,0,0
male,13,86.2,1,1
female,13,61.4,0,0
female,14,90.8,0,0
male,5,92.0,1,1
female,12,84.1,0,1
male,8,94.3,1,1
female,0,63.9,0,0
male,4,71.0,0,0
female,10,76.6,1,0
male,2,61.7,0,0
male,6,77.9,1,0
female,11,70.6,0,0
male,2,75.7,1,0
male,7,77.0,1,0
male,3,95.2,1,1
female,8,70.8,0,0
female,3,95.7,0,0
female,14,77.0,0,0
male,1,73.1,0,0
male,14,80.1,1,1
male,11,76.7,1,0
female,12,70.3,0,0
female,12,80.1,1,1
female,2,66.1,0,0
female,13,74.1,0,0
male,8,82.6,1,1
female,14,76.5,1,0
male,13,93.0,1,1
male,8,70.3,0,0
male,5,98.8,1,1
male,1,91.4,1,1
male,1,98.7,1,1
male,5,93.5,1,1
male,12,65.7,0,0
female,7,81.1,0,1
male,7,66.8,0,0
male,3,92.7,1,1
female,8,83.4,1,0
female,9,70.5,0,0
male,14,97.2,1,1
male,10,64.6,0,0
female,9,82.6,0,1
male,13,88.8,1,1
male,6,62.4,0,0
female,14,83.9,1,0
male,5,92.6,1,1
female,1,62.7,0,0
female,6,80.5,0,1
female,1,70.3,0,0
male,1,86.5,1,1
male,13,64.7,0,0
male,11,97.5,1,1
male,3,95.8,1,1
female,12,67.4,0,0
male,1,72.9,0,0
female,4,83.5,0,1
female,10,88.7,0,0
female,4,77.7,0,0
male,10,66.3,0,0
male,13,64.2,0,0
female,0,100.0,0,1
female,0,78.2,1,0
female,14,94.9,1,0
female,7,79.3,1,0
female,7,96.9,0,1
male,6,63.5,0,0
female,6,64.6,0,0
male,10,97.2,1,1
female,8,97.9,0,1
female,2,72.6,0,0
male,9,74.2,0,0
male,10,78.1,1,1
male,1,76.6,1,0
female,5,67.6,0,0
male,11,95.9,1,1
male,9,70.1,0,0
male,2,88.2,1,1
male,0,62.7,0,0
male,8,61.6,0,0
male,6,86.1,1,1
male,14,73.6,0,0
male,7,86.2,1,1
male,13,63.8,0,0
male,3,98.0,1,1
male,6,89.9,1,1
female,2,95.1,0,0
male,8,65.5,0,0
male,2,72.8,0,0
male,7,74.7,0,0
male,5,81.5,1,1
male,2,71.9,0,0
male,1,62.4,0,0
female,7,74.8,0,0
male,14,70.2,0,0
male,2,75.4,1,0
male,6,67.9,0,0
male,3,70.5,0,0
male,12,85.1,1,1
female,6,75.5,1,0
female,14,73.8,0,0
male,3,81.4,1,1
male,1,90.9,1,1
male,8,75.2,1,0
male,9,83.5,1,1
female,14,98.6,0,1
male,13,80.9,1,1
male,13,96.4,1,1
female,9,91.7,0,0
male,5,62.3,0,0
male,6,77.2,1,0
female,2,87.9,0,1
male,6,99.5,1,1
male,5,78.3,1,1
male,0,63.7,0,0
female,3,82.5,0,1
male,8,65.1,0,0
male,5,90.1,1,1
male,14,80.3,1,1
male,7,88.9,1,1
female,14,94.8,0,1
male,9,85.2,1,1
female,0,84.5,1,0
female,3,90.2,1,1
female,10,93.7,1,1
male,8,94.8,1,1
female,4,61.5,0,0
female,7,82.2,1,0
male,13,68.7,0,0
female,5,94.4,0,0
female,0,85.9,0,1
male,4,76.8,1,0
female,14,67.5,0,0
male,11,73.6,0,0
female,12,88.2,0,0
female,13,68.2,0,0
male,1,63.7,0,0
female,4,95.5,1,1
male,0,90.6,1,1
female,0,68.0,0,0
female,12,71.7,0,0
male,14,98.9,1,1
male,2,88.3,1,1
male,10,84.4,1,1
male,8,72.3,0,0
male,1,72.0,0,0
male,13,61.6,0,0
male,13,89.1,1,1
male,8,61.7,0,0
female,10,60.2,0,0
female,5,89.2,0,1
female,11,98.0,1,0
male,6,90.3,1,1
female,14,78.9,0,1
female,0,79.4,1,0
male,2,77.4,1,0
male,14,73.0,0,0
female,4,80.9,0,1
male,4,77.2,1,0
male,11,83.9,1,1
female,2,95.9,0,1
male,7,99.8,1,1
male,4,63.1,0,0
female,2,75.4,1,0
female,14,67.2,0,0
male,2,74.1,0,0
female,1,71.5,0,0
female,10,67.0,0,0
male,13,90.6,1,1
female,1,79.9,0,1
male,10,96.8,1,1
male,8,61.3,0,0
female,12,62.7,0,0
male,1,76.1,1,0
female,14,63.2,0,0
female,9,70.5,0,0
male,12,99.4,1,1
female,5,68.4,0,0
male,14,67.9,0,0
female,9,82.9,1,1
male,1,79.9,1,1
female,13,83.2,1,0
female,11,75.1,0,0
male,4,93.1,1,1
female,8,65.5,0,0
female,5,77.1,0,0
female,8,87.6,0,0
female,14,94.7,1,0
female,13,74.8,0,0
male,3,82.7,1,1
male,14,62.8,0,0
male,6,66.8,0,0
female,10,62.8,0,0
male,11,89.1,1,1
male,7,71.5,0,0
male,6,88.9,1,1
female,6,62.7,0,0
male,12,94.5,1,1
female,5,93.4,1,1
male,4,63.6,0,0
female,5,61.0,0,0
male,2,62.3,0,0
male,5,94.1,1,1
female,1,69.4,0,0
female,1,81.9,0,0
male,10,77.0,1,0
male,1,91.8,1,1
female,8,79.6,1,1
female,11,80.0,1,0
male,10,99.6,1,1
male,6,66.0,0,0
female,2,93.2,0,0
female,13,62.1,0,0
female,12,79.1,1,1
female,9,95.5,1,1
male,1,86.6,1,1
female,0,87.4,0,0
female,4,70.5,0,0
female,2,76.7,1,0
male,12,74.7,0,0
male,3,80.9,1,1
female,4,78.5,1,0
male,14,73.1,0,0
female,12,72.2,0,0
male,3,70.0,0,0
female,5,74.6,0,0
female,7,66.0,0,0
male,9,94.9,1,1
male,14,84.1,1,1
female,13,65.4,0,0
female,14,87.8,1,0
male,0,93.9,1,1
female,3,69.5,0,0
female,8,66.0,0,0
male,0,60.3,0,0
male,5,61.9,0,0
male,2,90.5,1,1
male,13,99.5,1,1
male,0,61.8,0,0
male,2,89.9,1,1
female,2,62.9,0,0
male,2,83.7,1,1
female,8,90.2,1,1
male,5,74.4,0,0
male,13,60.4,0,0
female,3,83.8,1,0
female,8,99.6,1,0
male,9,70.3,0,0
male,9,67.6,0,0
male,11,65.0,0,0
male,3,82.2,1,1
male,7,83.9,1,1
male,12,91.7,1,1
male,12,90.1,1,1
male,9,95.7,1,1
female,9,92.2,1,0
female,12,69.9,0,0
male,9,82.2,1,1
male,14,71.9,0,0
male,1,73.2,0,0
male,5,97.3,1,1
female,1,87.3,1,0
female,1,99.0,0,0
female,7,76.7,1,0
female,3,81.5,0,0
female,6,79.5,0,0
female,6,64.3,0,0
male,9,69.5,0,0
male,14,81.1,1,1
male,12,62.7,0,0
female,5,97.3,1,1
male,4,65.0,0,0
female,11,67.9,0,0
female,1,90.6,1,1
male,8,63.9,0,0
male,6,96.0,1,1
male,2,89.0,1,1
male,9,62.7,0,0
female,4,87.7,1,0
female,2,85.3,1,0
female,9,90.3,1,0
male,2,93.1,1,1
male,10,88.7,1,1
male,2,83.4,1,1
female,6,72.9,0,0
female,12,87.9,0,1
male,3,98.3,1,1
female,11,83.5,0,1
male,10,86.6,1,1
female,13,77.5,0,0
male,2,90.2,1,1
male,10,99.9,1,1
female,14,66.4,0,0
male,11,68.1,0,0
male,2,81.6,1,1
male,12,79.3,1,1
male,1,82.9,1,1
female,8,62.0,0,0
female,7,76.2,1,0
female,7,83.3,0,1
male,7,83.4,1,1
male,0,86.3,1,1
male,7,88.8,1,1
male,14,85.7,1,1
male,6,91.6,1,1
female,4,85.0,1,1
female,14,81.5,1,0
female,1,84.2,1,0
male,7,64.0,0,0
male,7,70.9,0,0
male,7,81.1,1,1
male,13,94.9,1,1
male,6,87.2,1,1
male,14,63.6,0,0
male,1,83.7,1,1
female,11,68.9,0,0
male,8,89.4,1,1
female,3,93.1,1,0
male,3,83.7,1,1
female,10,83.7,0,1
male,9,73.5,0,0
male,9,77.9,1,0
male,0,94.6,1,1
male,8,88.9,1,1
female,14,80.8,0,0
male,0,74.7,0,0
female,7,62.0,0,0
male,7,65.7,0,0
male,13,67.7,0,0
male,4,74.9,0,0
male,7,97.8,1,1
female,10,80.2,0,0
female,0,69.4,0,0
female,12,64.2,0,0
male,12,73.5,0,0
male,10,92.6,1,1
female,9,75.3,1,0
male,11,90.9,1,1
male,11,92.1,1,1
male,13,64.4,0,0
female,6,84.3,1,1
female,6,98.4,1,1
female,9,76.1,0,0
female,2,62.0,0,0
male,12,96.9,1,1
female,11,95.3,0,0
male,9,80.9,1,1
female,4,82.1,1,0
male,5,68.5,0,0
female,6,92.8,0,1
male,9,79.9,1,1
